RobotID,Time,Task
6,25522,r
10,25588,r
2,25607,r
9,25821,r
5,26002,r
0,26146,r
8,26198,r
3,26385,r
7,26435,r
6,28185,r
2,28369,r
5,28665,b
8,28755,r
9,28781,r
0,28806,r
7,29304,r
3,29355,r
10,30330,r
6,30498,r
2,30931,r
5,30986,b
8,31104,r
9,31546,r
0,31568,r
7,31627,b
3,31667,r
6,32417,r
2,32758,r
10,32886,r
5,33645,b
8,33664,r
7,33745,b
0,34232,r
3,34330,r
6,34920,r
2,35256,r
8,36310,r
7,36509,b
5,36512,b
9,36526,b
6,36740,r
0,36796,r
3,36888,r
2,36976,r
10,37752,r
8,38333,r
9,39389,b
7,39691,b
5,39691,b
6,39716,r
2,39821,r
3,39857,r
10,40608,r
8,40890,r
0,41239,r
9,41469,b
2,41809,r
10,42524,r
7,42563,b
5,42674,b
3,42840,r
6,42955,r
0,43237,r
8,43663,r
9,43934,b
2,44576,r
10,45082,r
7,45220,b
5,45302,b
3,45503,r
6,45520,r
0,45770,r
8,45928,b
9,46001,b
10,47008,r
5,47208,b
0,47567,r
2,47759,r
7,48293,b
3,48789,r
8,48792,b
9,48868,b
10,49567,r
5,49766,b
0,50335,r
6,51162,r
7,51273,b
3,51856,r
8,51863,b
9,51864,b
5,52113,b
10,52157,r
2,52913,r
0,53100,r
6,53924,r
5,54307,b
3,54417,r
8,54526,b
9,54728,b
10,55026,r
2,55719,r
0,55764,r
5,56955,b
7,56986,b
8,57316,b
3,57704,r
9,57705,b
0,58424,r
10,59312,r
8,59459,b
5,59617,b
7,59654,b
3,60364,r
9,60369,b
0,60581,r
2,61245,r
8,62066,b
7,62665,b
5,62713,b
9,63565,b
10,64020,r
2,64426,r
6,65081,r
8,65691,b
0,65787,r
