RobotID,Time,RT,BT
4,19762,0.100839496,0.44546622
0,20169,0.609873593,0.735065162
5,20486,0.620427549,0.71388495
2,20736,0.370931327,0.010914862
1,20910,0.459015965,0.944205463
3,21750,0.029078484,0.664063811
4,22939,0.100089498,0.44546622
0,23032,0.609873593,0.735065162
2,23403,0.370931327,0.010914862
1,23572,0.459015965,0.944205463
5,23766,0.620427549,0.713134944
3,24623,0.029078484,0.664063811
0,25599,0.609123588,0.735065162
4,25806,0.0993395,0.44546622
2,25861,0.370931327,0.010914862
1,26135,0.459015965,0.944205463
5,26735,0.620427549,0.712384939
4,29326,0.098589502,0.44546622
2,29477,0.370931327,0.010914862
0,29512,0.607623577,0.735065162
3,29633,0.029078484,0.664063811
5,29699,0.620427549,0.710884929
1,29758,0.459015965,0.944205463
0,32589,0.606123567,0.735065162
5,33330,0.620427549,0.708634913
1,33387,0.459015965,0.944205463
3,33662,0.029078484,0.664063811
0,35249,0.604623556,0.735065162
5,35988,0.620427549,0.706384897
1,36049,0.459015965,0.944205463
0,38112,0.603123546,0.735065162
4,38482,0.097839504,0.44546622
5,38544,0.620427549,0.704134881
1,38834,0.459015965,0.944205463
0,40772,0.601623535,0.735065162
4,41139,0.097089507,0.44546622
1,41393,0.459015965,0.944205463
5,41406,0.620427549,0.701884866
0,43733,0.600123525,0.735065162
5,43866,0.620427549,0.69963485
4,43898,0.096339509,0.44546622
3,43918,0.029078484,0.664063811
1,43950,0.459015965,0.944205463
0,46187,0.598623514,0.735065162
5,46421,0.620427549,0.697384834
1,46611,0.459015965,0.944205463
4,46659,0.095589511,0.44546622
3,46677,0.029078484,0.664063811
